Date,Balance,Account
2025-09-26,1049767.77,Vanguard Trust 
2025-09-27,1054626.73,Vanguard Trust 
2025-09-28,1054626.73,Vanguard Trust 
2025-09-29,1057790.89,Vanguard Trust 
2025-09-30,1061878.76,Vanguard Trust 
2025-10-01,1068886.26,Vanguard Trust 
2025-10-02,1070690.29,Vanguard Trust 
2025-10-03,1075537.19,Vanguard Trust 
2025-10-04,1075537.19,Vanguard Trust 
2025-10-05,1075537.19,Vanguard Trust 
2025-10-06,1075537.19,Vanguard Trust 
2025-10-07,1078507.10,Vanguard Trust 
2025-10-08,1071556.75,Vanguard Trust 
2025-10-09,1076864.21,Vanguard Trust 
2025-10-10,1069905.00,Vanguard Trust 
2025-10-11,1043933.33,Vanguard Trust 
2025-10-12,1043933.33,Vanguard Trust 
2025-10-13,1043933.33,Vanguard Trust 
2025-10-14,1059892.34,Vanguard Trust 
2025-10-15,1059844.82,Vanguard Trust 
2025-10-16,1067245.60,Vanguard Trust 
2025-10-17,1066583.73,Vanguard Trust 
2025-10-18,1068174.20,Vanguard Trust 
2025-10-19,1068174.20,Vanguard Trust 
2025-10-20,1068174.20,Vanguard Trust 
2025-10-21,1068174.20,Vanguard Trust 
2025-10-22,1073083.46,Vanguard Trust 
2025-10-23,1077322.32,Vanguard Trust 
2025-10-24,1077322.32,Vanguard Trust 
2025-10-25,1082880.52,Vanguard Trust 
2025-10-26,1082880.52,Vanguard Trust 
2025-10-27,1092544.73,Vanguard Trust 
2025-10-28,1092544.73,Vanguard Trust 
2025-10-29,1090900.66,Vanguard Trust 
2025-10-30,1082192.93,Vanguard Trust 
2025-10-31,1082192.93,Vanguard Trust 
2025-11-01,1082444.10,Vanguard Trust 
2025-11-02,1082464.92,Vanguard Trust 
2025-11-03,1084759.15,Vanguard Trust 
2025-11-04,1071127.64,Vanguard Trust 
2025-11-05,1077184.09,Vanguard Trust 
2025-11-06,1069775.09,Vanguard Trust 
2025-11-07,741804.35,Vanguard Trust 
2025-11-08,741804.35,Vanguard Trust 
2025-11-09,741804.35,Vanguard Trust 
2025-11-10,751114.27,Vanguard Trust 
2025-11-11,754724.38,Vanguard Trust 
2025-11-12,757192.97,Vanguard Trust 
2025-11-13,373420.24,Vanguard Trust 
2025-11-14,373201.60,Vanguard Trust 
2025-11-15,373201.60,Vanguard Trust 
2025-11-16,373201.60,Vanguard Trust 
2025-11-17,368980.54,Vanguard Trust 
2025-11-18,366089.04,Vanguard Trust 
2025-11-19,365778.61,Vanguard Trust 
2025-11-20,360873.67,Vanguard Trust 
2025-11-21,364502.84,Vanguard Trust 
2025-11-22,364502.84,Vanguard Trust 
2025-11-23,364502.84,Vanguard Trust 
2025-11-24,367068.64,Vanguard Trust 
2025-11-25,370472.26,Vanguard Trust 
2025-11-26,373554.82,Vanguard Trust 
2025-11-27,373554.82,Vanguard Trust 
2025-11-28,375257.28,Vanguard Trust 
2025-11-29,375277.00,Vanguard Trust 
2025-11-30,375277.00,Vanguard Trust 
2025-12-01,373811.58,Vanguard Trust 
2025-12-02,374342.89,Vanguard Trust 
2025-12-03,375827.89,Vanguard Trust 
2025-12-04,376535.25,Vanguard Trust 
2025-12-05,377189.98,Vanguard Trust 
2025-12-06,377189.98,Vanguard Trust 
2025-12-07,377189.98,Vanguard Trust 
2025-12-08,376338.42,Vanguard Trust 
2025-12-09,375893.58,Vanguard Trust 
2025-12-10,379417.21,Vanguard Trust 
2025-12-11,380451.09,Vanguard Trust 
2025-12-12,377475.85,Vanguard Trust 
2025-12-13,377475.85,Vanguard Trust 
2025-12-14,377475.85,Vanguard Trust 
2025-12-15,378148.46,Vanguard Trust 
2025-12-16,376457.50,Vanguard Trust 
2025-12-17,373622.02,Vanguard Trust 
2025-12-18,376481.65,Vanguard Trust 
2025-12-19,374368.24,Vanguard Trust 
2025-12-20,374368.24,Vanguard Trust 
2025-12-21,374368.24,Vanguard Trust 
2025-12-22,376221.55,Vanguard Trust 
2025-12-23,382739.56,Vanguard Trust 
2025-12-24,383604.18,Vanguard Trust 
2025-12-25,383604.18,Vanguard Trust 
2025-12-26,384350.20,Vanguard Trust 
2025-12-27,384350.20,Vanguard Trust 
2025-12-28,384350.20,Vanguard Trust 
2025-12-29,383137.12,Vanguard Trust 
2025-12-30,383475.25,Vanguard Trust 
2025-12-31,381584.06,Vanguard Trust 
2026-01-01,381607.79,Vanguard Trust 
2026-01-02,385687.58,Vanguard Trust 
2026-01-03,385687.58,Vanguard Trust 
2026-01-04,385687.58,Vanguard Trust 
2026-01-05,389220.61,Vanguard Trust 
2026-01-06,390876.84,Vanguard Trust 
2026-01-07,389193.98,Vanguard Trust 
2026-01-08,389391.34,Vanguard Trust 
2026-01-09,391960.23,Vanguard Trust 
2026-01-10,391960.23,Vanguard Trust 
2026-01-11,391960.23,Vanguard Trust 
2026-01-12,394593.23,Vanguard Trust 
2026-01-13,392956.22,Vanguard Trust 
2026-01-14,393686.29,Vanguard Trust 
2026-01-15,394455.18,Vanguard Trust 
2026-01-16,394527.78,Vanguard Trust 
2026-01-17,394527.78,Vanguard Trust 
2026-01-18,394527.78,Vanguard Trust 
2026-01-19,394527.78,Vanguard Trust 
